date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2023-04-19 20:00:00 EDT",1681948800,99.93,102.07,WNW,29,12,,54,-0.7,8.1,,,24100,,,8,,,8.5,7.6
"2023-04-19 19:00:00 EDT",1681945200,99.92,102.05,WNW,29,17,,53,-0.9,8.2,,,24100,,,7,,,9,8
"2023-04-19 18:00:00 EDT",1681941600,99.93,102.06,W,27,23,,51,-0.9,8.8,,,24100,,,7,,,9.6,8.6
"2023-04-19 17:00:00 EDT",1681938000,99.88,102.01,WNW,30,17,,47,-2,8.7,,,24100,,,8,,,9.5,8.1
"2023-04-19 16:00:00 EDT",1681934400,99.92,102.05,WNW,30,21,,48,-2.2,8.3,,,24100,,,6,,,9.1,6.7
"2023-04-19 15:00:00 EDT",1681930800,99.95,102.09,WNW,29,15,,53,-1.9,7,,,24100,,,7,,,7,5.2
"2023-04-19 14:00:00 EDT",1681927200,99.97,102.11,W,27,16,27,55,-2.7,5.7,,,24100,,,7,,,5.9,4.3
"2023-04-19 13:00:00 EDT",1681923600,99.98,102.12,WNW,29,14,32,60,-2.2,5,,,24100,,,8,,,5.1,3.3
"2023-04-19 12:00:00 EDT",1681920000,99.98,102.12,W,28,24,,58,-4,3.5,,,24100,,,7,,,3.6,2.6
"2023-04-19 11:00:00 EDT",1681916400,99.96,102.1,WNW,29,21,33,56,-5.2,2.7,,,24100,,,7,,,3.2,1.6
"2023-04-19 10:00:00 EDT",1681912800,99.91,102.06,WNW,30,26,,56,-6.1,1.7,,,24100,,,7,,,1.9,1
"2023-04-19 09:00:00 EDT",1681909200,99.83,101.97,NW,32,30,44,57,-5.6,2,,,24100,,,7,,,2,0.8
"2023-04-19 08:00:00 EDT",1681905600,99.75,101.89,NW,31,32,,61,-5.7,1,,,24100,,,8,,,1.2,0.8
"2023-04-19 07:00:00 EDT",1681902000,99.58,101.72,WNW,30,23,32,68,-4.2,1,,,24100,,,8,,,1,0.8
"2023-04-19 06:00:00 EDT",1681898400,99.51,101.65,WNW,29,33,,71,-3.7,0.9,,,24100,,,8,,,1.7,0.9
"2023-04-19 05:00:00 EDT",1681894800,99.43,101.56,WNW,29,28,,72,-2.9,1.6,,,24100,,,8,,,1.6,1.2
"2023-04-19 04:00:00 EDT",1681891200,99.37,101.5,W,28,22,31,79,-1.8,1.4,,,24100,,,8,,,1.7,1.3
"2023-04-19 03:00:00 EDT",1681887600,99.36,101.49,WNW,29,22,36,76,-2.1,1.6,,,24100,,,8,,,2.1,1.2
"2023-04-19 02:00:00 EDT",1681884000,99.33,101.46,NW,31,23,40,78,-1.5,2,,,24100,,,8,,,2.3,1.9
"2023-04-19 01:00:00 EDT",1681880400,99.28,101.41,WNW,29,26,,69,-2.8,2.3,,,24100,,,8,,,2.3,2.1
"2023-04-19 00:00:00 EDT",1681876800,99.22,101.35,W,28,22,34,70,-2.8,2.1,,,24100,,,8,,,2.3,2.1
"2023-04-18 23:00:00 EDT",1681873200,99.21,101.34,WNW,28,16,30,75,-1.8,2.2,,,24100,,,8,,,2.5,2.2
"2023-04-18 22:00:00 EDT",1681869600,99.17,101.3,W,27,20,,69,-2.8,2.3,,,24100,,,8,,,2.5,2.2
"2023-04-18 21:00:00 EDT",1681866000,99.1,101.23,W,27,24,35,74,-1.9,2.2,,,24100,,,8,,,2.5,2.2
"2023-04-18 20:00:00 EDT",1681862400,99.01,101.13,W,27,27,,68,-2.9,2.4,,,24100,,,8,,,2.6,2.4
